Secondary_Education,Graduate_Education,Households_with_Telephone_Mobile_Phone,Female_Workers,Having_bathing_facility_Total_Households,Other_Workers,Literate_Education,Households_with_Radio_Transistor,Higher_Education,Married_couples_None_Households,Other_Education,Main_Workers,Households_with_Computer,Household_size_3_persons_Households,Household_size_4_persons_Households,Housholds_with_Electric_Lighting,Main_source_of_drinking_water_Other_sources_Households,Household_size_3_to_5_persons_Households,Power_Parity_Rs_45000_150000,Location_of_drinking_water_source_Within_the_premises_Households,Female_Literate,Households_with_Telephone_Mobile_Phone_Mobile_only,Literate,Power_Parity_Rs_45000_90000,Cultivator_Workers,Households,Age_Group_50,Households_with_Television,Household_size_1_person_Households,Age_Group_0_29,Total_Education,Male_Literate,Non_Workers,Population,Having_latrine_facility_within_the_premises_Total_Households,Households_with_Telephone_Mobile_Phone_Landline_only,Married_couples_2_Households,Female,Male,Households_with_separate_kitchen_Cooking_inside_house,Power_Parity_Rs_90000_150000,Household_size_1_to_2_persons,Hindus,Total_Power_Parity,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,LPG_or_PNG_Households,Primary_Education,Workers,Main_source_of_drinking_water_Tapwater_Households,Household_size_6_8_persons_Households,Male_Workers,Agricultural_Workers,Married_couples_1_Households,Rural_Households,Ownership_Owned_Households,Household_size_2_persons_Households,Household_size_5_persons_Households,Urban_Households,Households_with_Telephone_Mobile_Phone_Both,Middle_Education,Age_Group_30_49,Male_SC,Scheduled_Castes_SC,Location_of_drinking_water_source_Near_the_premises_Households,Power_Parity_Less_than_Rs_45000,Female_SC,Households_with_Car_Jeep_Van,Main_source_of_drinking_water_Tubewell_Borehole_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Household_Workers,Households_with_Internet,Location_of_drinking_water_source_Away_Households,Illiterate_Education,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Bicycle,Religion_Not_Stated,Ownership_Rented_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Below_Primary_Education,Marginal_Workers,Households_with_Scooter_Motorcycle_Moped,Married_couples_3_Households,Married_couples_3_or_more_Households,Type_of_latrine_facility_Pit_latrine_Households,Main_source_of_drinking_water_Un_covered_well_Households,Power_Parity_Rs_330000_545000,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Power_Parity_Rs_150000_330000,Female_ST,Power_Parity_Rs_425000_545000,Jains,Not_having_bathing_facility_within_the_premises_Total_Households,Scheduled_Tribes_ST,Condition_of_occupied_census_houses_Dilapidated_Households,Power_Parity_Rs_240000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_150000_240000,Power_Parity_Above_Rs_545000,Type_of_latrine_facility_Other_latrine_Households,Household_size_9_persons_and_above_Households,Age not stated,Muslims,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Others_Religions,Sikhs,Male_ST,Married_couples_5__Households,Married_couples_4_Households,Christians,Buddhists,Type_of_fuel_used_for_cooking_Any_other_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Crime
61182,28821,78100,31646,71147,127460,304905,24404,43620,16617,4250,125910,8194,17368,26476,80421,1793,59591,6810,56615,129904,67286,294281,4069,16567,141675,56514,63965,6781,204538,373397,164377,228046,380581,65450,2841,7268,177710,202871,81190,2741,17362,264296,12084,6663,25641,41539,60466,152535,79375,13473,120889,4781,68057,89950,53527,10581,15747,51725,7973,71733,119161,0,0,25198,1879,0,6426,482,11813,3727,3234,11563,68492,5099,17066,669,30123,151,34833,26625,23076,1229,1434,2679,6194,1142,1774,1709,13799,737,31,22229,28530,2092,636,405,1073,544,219,2950,368,32413,1374,497,564,1286,14731,30,175,80984,338,49,1091,2405,Low
9266937,5069999,13262317,15237311,14114228,14524493,54781152,1949681,5481749,2824943,687039,33037378,1763555,3624546,6500912,19377222,439959,13886816,80360,9089558,22305517,11549740,50556760,46112,6491522,25594996,14845225,12358093,1046886,45815669,81966385,28251243,45157871,84580777,10424003,857080,1989999,42138631,42442146,14972999,34248,3922867,74824149,124166,660427,10085161,7525445,13036342,39422906,14691570,2862769,24185595,16967754,15940130,17174077,16498540,2875981,3761358,8420919,855497,11566354,23148452,6913047,13878078,7834465,19930,6965031,562769,1451570,3474849,1439137,549284,4100511,27185233,816992,6754231,404100,4146219,165673,9672732,6385528,3914068,233729,269462,1141558,1231522,9156,204395,8273,2948711,5385,53849,6910306,5918073,735593,3090,3771,5183,6449,228797,352082,771431,8082412,53624,4337080,9547,40244,2969362,5815,29918,1129784,36692,24760,101574,65270,High
124932,60298,126368,237384,111366,240398,825665,57571,90576,42194,6067,478721,21247,31046,43494,171821,8307,117694,4158,107429,326137,104094,766005,2672,302723,375960,139635,107624,15343,904739,1267216,439868,796070,1383727,162116,7592,25968,669815,713912,249360,1486,36919,401876,6456,41091,91053,76445,203321,587657,171473,86548,350273,36171,188631,270546,178605,21576,43154,105414,14682,177395,337844,0,0,97755,880,0,20729,6299,35450,8365,5128,56430,441551,9485,50987,6648,59201,1865,163076,108936,36691,3898,4821,49148,11335,294,26277,952,483431,153,771,150248,951821,8615,396,141,556,172,12503,20453,1509,27045,2314,34165,362553,3287,468390,218,705,418732,162815,136,14911,15559,Low
2720548,1017971,3047557,3428130,2659101,5571396,22067346,1404752,1749752,801096,157418,8687123,593484,947719,1417457,2358900,125458,3601440,6406,3489690,8609338,2766506,19177977,4311,4061627,9074503,4127732,1751229,198155,19042032,31558974,10568639,19235886,31205576,4131931,137261,698614,15266133,15939443,4972750,2095,695505,19180759,9944,716924,2116562,1206621,6286859,11969690,666146,1711991,8541560,1845346,4720070,7588998,5598028,497350,1236264,1485505,143790,6391073,8016988,1145314,2231321,1699916,1510,1086007,239904,588580,1101043,491321,100173,1177689,9491628,164319,3504408,50873,435455,54381,3743725,3282567,646410,120493,147515,2207938,1095715,402,536172,1424,1927366,207,25949,3708194,3884371,691091,590,195,834,202,111914,358359,18824,10679345,294581,3782347,27118,20672,1957005,5238,21784,1165867,54993,22603,80246,216639,Low
7565444,3346072,10510770,9502798,7090850,7771904,64524479,4884055,4600511,1517633,368472,21359611,1334565,1996724,2939167,3098435,256850,8323623,55371,9490650,20896530,9773448,52504553,37239,7196226,23414674,13816563,2751541,405633,66930323,110967859,31608023,69374465,104099452,4367236,425705,2842084,49821295,54278157,15425093,18132,2192635,86078686,89490,315111,14358546,1528380,16822947,34724987,834514,6376382,25222189,18345649,13456307,20713342,18332993,1787002,3387732,2701332,311617,10287996,22949064,8606253,16567325,7182893,23749,7961072,323190,567104,4958230,1411208,165521,2267086,46443380,180385,9230677,252127,396421,39246,21533037,13365376,1534633,784550,1124605,473855,696238,2061,438088,6732,654057,1273,18914,11849779,1336573,1392748,564,788,6168,1576,87842,2047989,403502,17557809,22842,16969091,13437,23779,682516,101460,238595,129247,25453,228163,6418,29001,Medium
124707,174528,209783,75977,210801,395072,731491,65936,98786,42854,20188,385929,78113,36024,64040,231204,1120,144460,10783,202495,340092,148411,805438,3631,2578,298367,148945,193932,15220,602411,915756,465346,651314,1055450,206017,14027,24076,474787,580663,226263,7152,39616,852574,34145,1372,7578,168344,118667,404136,227354,43001,328159,1687,162464,8911,112043,24396,44396,289456,47345,114209,303748,106356,199086,27384,893,92730,60494,2001,7208,4799,44283,5182,184265,67323,135055,1014,110377,164,80406,18207,109701,4872,5667,1178,45,7843,542,6729,0,4461,1960,24260,0,8256,2444,3382,4285,7897,196,7984,346,51447,204,6167,246,138329,0,119,676,8720,1160,263,36,12,Low
1853321,1072482,1726254,5046359,1132505,2895916,16007677,618474,1562183,719672,151480,8241714,260971,764931,1134163,4231941,28638,2992508,19526,1068490,6572029,1528665,15379922,11041,4004796,6799689,3786209,1760851,312582,15230475,24974721,8807893,13364973,25545198,1382706,86376,684092,12712303,12832895,5331269,8485,1026966,23819789,30603,131447,4159905,628600,4058000,12180225,1161217,1367934,7133866,5091882,4060416,5164079,5072438,714384,1093414,1635610,111213,3421010,6505399,1641738,3274269,3065075,5857,1632531,126332,404092,302661,187631,67820,1489285,8967044,146190,3428564,23262,366686,4881,3889201,3938511,878000,128164,158670,194474,593631,1569,105262,2392,3949711,956,61510,4490345,7822902,220899,749,613,1643,1263,9101,235442,23115,514998,13484,3690341,494594,70036,3873191,6400,24106,490542,70467,4823,39502,49823,Low
73851,30689,98145,51705,98127,226502,363360,24018,41237,39542,6196,246734,11615,23483,30107,129382,574,74979,25015,84595,144472,87708,411636,9044,30480,198712,53373,71305,8567,378167,485791,267164,308524,586956,87232,4200,11730,242895,344061,127476,15971,27370,543007,75083,1259,35541,61122,104902,278432,79405,25678,226727,18571,79541,68015,63707,18803,21389,130697,6237,70955,154688,6490,12310,39968,2217,5820,7697,25951,17673,2879,3697,8881,122431,7321,36203,732,66671,84,35530,31698,37634,2211,2631,1133,4314,17393,650,14429,97312,9900,1473,35317,193927,705,5452,7493,8977,16029,310,5417,728,32199,41,47115,372,389,96615,66,354,7933,851,93,454,190,Low
262876,144241,287680,157712,289111,504426,1099659,100507,152299,62536,26180,476053,100565,59871,87311,312761,4035,204735,1589,257344,549664,173533,1165487,738,31354,576582,305640,261842,16981,695406,1287774,615823,881297,1458545,257338,39008,32342,719405,739140,311133,851,53324,963877,3724,10206,53003,234803,174560,577248,275694,51718,419536,26760,219622,204479,254532,36343,57553,372103,75139,268661,455405,12627,25449,49955,209,12822,79373,855,26493,14708,41064,15514,188115,71765,79512,3039,56191,667,70842,101195,183814,6788,8313,14177,22965,683,10479,598,76327,368,1109,33702,149275,4914,325,315,273,645,3818,13036,2094,121564,1125,1106,258,1473,72948,278,1247,366130,1095,177,3971,1075,Low
7345431,3384559,8399799,6766833,8214360,12136833,41957563,2360781,3491202,1362357,620698,20365374,1077510,1475520,2694940,11013214,243633,6579836,65573,7801134,17618485,7136827,41093358,29274,5447500,17524030,9538689,6550293,444680,34370917,56147630,23474873,35671945,60439692,6985686,402969,2214484,28948432,31491260,10426250,36299,1560920,53533988,130705,323729,4922415,4667397,14528220,24767747,8408796,3283141,18000914,6839415,8033312,9293240,10222752,1116240,2409376,8230790,860003,5920431,16291242,2110331,4074447,2867196,8249,1964116,743279,1169970,1336693,343999,381622,1513388,14190067,766063,4241134,57902,1649636,25234,6667022,4402373,4158404,488404,571565,544037,583756,21848,100175,22371,4415785,13429,579654,3967358,8917174,187135,11626,8419,10745,12669,32690,757821,238844,5846761,27055,2585438,16480,58246,4501389,13710,69451,316178,30483,6203,11356,41685,Medium
